Optimal order: 4
Type,Order,Mean,Std
Train,0,-5.551115123125783e-17,3.3027968761353313e-16
Train,1,0.7926136349539645,0.0022808650585882484
Train,2,0.8748824131232142,0.0010345151533064185
Train,3,0.9304578883915153,0.0010354341731208616
Train,4,0.9697861490958882,0.0010415110764093027
Train,5,0.9914922580598177,0.00041764067064903234
Test,0,-0.007674866811630254,0.008035578702096664
Test,1,0.7879980920137735,0.02130109813658897
Test,2,0.8620390699275902,0.01077661331715933
Test,3,0.9026991631214193,0.011298432859668361
Test,4,0.9243719125635078,0.01755330549688001
Test,5,0.913834187398686,0.02433585336507136
