Optimal order: 4
Type,Order,Mean,Std
Train,0,-5.551115123125783e-17,3.3027968761353313e-16
Train,1,0.7926136349539643,0.002280865058588277
Train,2,0.8748824131232142,0.001034515153306401
Train,3,0.9304578883915153,0.0010354341731208534
Train,4,0.969786149095888,0.0010415110764092925
Train,5,0.9914922580598177,0.0004176406706490453
Test,0,-0.007674866811630254,0.008035578702096664
Test,1,0.7879980920137732,0.02130109813658837
Test,2,0.8620390699275904,0.010776613317159008
Test,3,0.9026991631214196,0.011298432859668035
Test,4,0.9243719125635075,0.01755330549688009
Test,5,0.9138341873986858,0.024335853365070877
